# alliance-name list-of-airlines,
Star Alliance,9I A3 AC AI AV AZ BR CA CM ET LH LO LR LX MS NH NZ OA OS OU OZ P5 SA SG SN SQ TA TG TK TP UA WC ZH
oneworld,4M AA AS AT AY BA CJ CX EC EZ FJ GH IB JC JL LP MH MN N7 NU QF QR RJ UL WY XM
SkyTeam ,A5 AE AF AM AR CI CT DL FM GA KE KL KQ ME MF MU RO SK SV UX VN VS WA WX
Alaska,4M AA AS AT AY BA CX DE EC EI EK EZ FI FJ GH HU IB JC JL JP KE KS LP MH N7 QF QR RJ SQ UL WY XM
Air France-KLM ,A5 AE AF AM AR CE CI CM CT CZ DL DT EY FM G3 GA HV JN KE KL KQ ME MF MH MK MU PG PS QF RO SB SK SV T7 TO UX VN VS WA WS WX XK
Air Newzealand,9I A3 AC AI AT AV BR CA CM CX ET EY FJ LH LO LR LX MS NH NZ OA OS OU OZ P5 QF SA SB SG SN SQ TA TG TK TP UA VS WC ZH
American,4M 4O 9K AA AS AT AY BA BB CJ CX CZ EC EI EY EZ FJ GF GH HA IB JC JJ JL LA LP MH MN N7 NU QF QR RJ TN UL WS WY XL XM
ANA,9I A3 AC AI AV AZ BR CA CM EN ET EW HO LH LO LR LX MS NH NX NZ OA OS OU OZ P5 PR SA SG SN SQ TA TG TK TP UA VS WC ZH
Asiana,9I A3 AC AI AV BR CA CM EY ET LH LO LR LX MS NH NZ OA OS OU OZ P5 SA SG SN SQ TA TG TK TP UA WC ZH
British Airways,4M AA AS AT AY BA CJ CX EC EI EZ FJ GH IB JC JJ JL LA LP MH MN N7 NU QF QR RJ UL WY XL XM
Cathay Pacific,4M AA AS AT AY BA CA CJ CX EC EZ FJ GF GH IB JC JJ JL LA LH LP LX MH MN N7 NU NZ OS PH QF QR RJ UL WY XL XM ZH
Delta ,A5 AE AF AM AR CI CT CZ DL FM G3 GA HA KE KL KQ LY ME MF MU RO SK SV UX VA VN VS WA WS WX
Etihad,AA AC AD AF AT B6 EY GA GF HU JU KL LY MH MU NH NZ OZ SK SN SV TP UL UX VN WY
Emirates,AC B6 CM EK FZ G3 JL JQ KE MH MK PG QF S7 SA TP
Korean ,A5 AA AE AF AM AR AS CI CT CZ DL EK FM G3 GA HA JL KE KL KQ ME MF MU RO SK SV UX VN VS WA WX
Lufthansa,9I A3 AC AI AV AZ BR CA CX CM DE EW EN ET KC KM LG LH LO LR LX MS NH NZ OA OS OU OZ P5 SA SG SN SQ TA TG TK TP UA WC ZH
QANTAS,4M 4N AA AF AS AY BA CJ CX EC EK EZ FJ GH IB JC JJ JL JQ KL LA LP LY MH MN MU N7 NF NU PX QF QR RJ UL WS XL XM
Qatar,4M AA AS AT AY B6 BA CX FJ GH IB JC JJ JL LA LP ME MH PG QF QR RJ S7 UL VA WB WY XL XM
SAS,A5 AE AF AM AR CI CT DL EY FM GA KE KL KQ ME MF MU RO SK SQ SV UX VN VS WA WF WX
Singaproe Airlines,9I A3 AC AI AS AV AZ B6 BR CA CM ET GA HO LH LO LR LX MH MS NH NZ OA OS OU OZ P5 SA SG SK SN SQ TA TG TK TP TR UA VA VS WC ZH
United,3M 4B 9I 9K A3 AC AD AI AV AZ BR CA CM EI EN ET EW HA HO LH LO LR LX MS NH NZ OA OS OU OZ P5 SA SG SK SN SQ TA TG TK TP UA WC WK ZH
Virgin Atlantic,6E A5 AE AF AM AR CI CT DL FM GA HA KE KL KQ LA ME MF MU NH NZ RO SA SK SQ SV UX VA VN VS WA WX
